source,language_code,language_name,transcript,duration_sec,speaker_id,split,sample_id
fleurs,asm,Assamese,তেওঁ দেওবাৰে বলনিয়াৰ বিপক্ষে পৰিকল্পিত খেলৰ পৰা আগতেই টীম হোটেলত আছিল৷,10.8,186,train,fleurs_as_in_0
fleurs,asm,Assamese,ডে'নলও পুনৰ দখল কৰাৰ পাছত ইংলেণ্ড দীৰ্ঘ সময় ধৰি শান্তিত আছিল,7.98,382,train,fleurs_as_in_1
fleurs,asm,Assamese,প্ৰতিবাদীসকলে নৱেম্বৰ মাহত ৰাষ্ট্ৰীয় কংগ্ৰেছত উপস্থাপন কৰিবলৈ 1.2 মিলিয়ন স্বাক্ষৰৰ এক দৰখাস্তক সংগ্ৰহ কৰিবলৈ আশা কৰিছে৷,9.12,66,train,fleurs_as_in_2
fleurs,asm,Assamese,2007 চনৰ 17 ছেপ্টেম্বৰত ৰাছিয়াৰ এলিছকৰ এখন প্ৰসুতী চিকিৎসালয়ত অস্ত্ৰোপচাৰ শাখাত নাডিয়াৰ জন্ম হৈছিল আৰু ওজন 17 পাউণ্ড 1 আউন্স আছিল,18.42,234,train,fleurs_as_in_3
fleurs,asm,Assamese,পৃথিৱীৰ দৰে সূৰ্যটোৰ কোনো খোলা নাই য'ত আপুনি থিয় হৈ থাকিব পাৰে সমগ্ৰ সূৰ্যটো গেছ জুই আৰু আয়নীভূত গেছৰ দ্বাৰা গঠিত,10.92,376,train,fleurs_as_in_4
fleurs,asm,Assamese,ষ্টাৰ্কৰ মানুহখিনিয়ে ক'লনিষ্টৰ অৱস্থানৰ উত্তৰ প্ৰান্তৰ জেওৰাৰ কাষে কাষে অৱস্থান গ্ৰহণ কৰিছিল,9.72,542,train,fleurs_as_in_5
fleurs,asm,Assamese,মানুহজনে হেনু ভিৰৰ মাজলৈ এখন বিস্ফোৰক সামগ্রী ভর্তি তিনি-চকীয়া বাহন চলাই নিছিল,8.46,231,train,fleurs_as_in_6
fleurs,asm,Assamese,আমি নিজে কৰা কামৰ পৰা হোৱা সকলোখিনি সাম্প্রতিক অভিজ্ঞতা আৰু দূৰদর্শনৰ তথ্যমূলক শিক্ষা সম্বন্ধীয় অনুষ্ঠানে এই দিশসমূহ বিশদভাৱে আলোচনা কৰে,17.94,647,train,fleurs_as_in_7
fleurs,asm,Assamese,এনেকুৱা লাগে যে এইটো মানুহক প্ৰতাৰণা কৰাৰ আন এক পদ্ধতি য'ত তেওঁলোকৰ আৰু অধিক খৰছ হব বুলি বিশ্বাস যোগোৱা হয়,9.78,706,train,fleurs_as_in_8
fleurs,asm,Assamese,এটা ভৌগোলিক অঞ্চলৰ এটা বিশেষ প্ৰজাতিৰ জীৱৰ সংখ্যা সংগ্ৰহ কৰা হয়,7.8,570,train,fleurs_as_in_9
